name,date,water_depth,water_level
BB Upland Well 1,2018-07-07,-0.6934377719629629,0.13656222803703716
BB Upland Well 1,2018-07-08,-0.7050819357592593,0.12491806424074064
BB Upland Well 1,2018-07-09,-0.722280032861111,0.10771996713888893
BB Upland Well 1,2018-07-10,-0.7476576062222222,0.08234239377777773
BB Upland Well 1,2018-07-11,-0.8053765907777778,0.024623409222222153
BB Upland Well 1,2018-07-12,-0.8526788522777781,-0.022678852277778112
BB Upland Well 1,2018-07-13,-0.8683386356666662,-0.038338635666666294
BB Upland Well 1,2018-07-14,-0.8847989700694444,-0.05479897006944444
BB Upland Well 1,2018-07-15,-0.9099577285138889,-0.07995772851388898
BB Upland Well 1,2018-07-16,-0.9234229894861113,-0.0934229894861114
BB Upland Well 1,2018-07-17,-0.9454797455277779,-0.1154797455277779
BB Upland Well 1,2018-07-18,-0.8992478359583335,-0.06924783595833353
BB Upland Well 1,2018-07-19,-0.9319482735694444,-0.10194827356944441
BB Upland Well 1,2018-07-20,-0.9696929025092593,-0.1396929025092594
BB Upland Well 1,2018-07-21,-0.9582633047962965,-0.12826330479629655
BB Upland Well 1,2018-07-22,-0.36428006351388886,0.4657199364861111
BB Upland Well 1,2018-07-23,-0.3514638118333335,0.4785361881666665
BB Upland Well 1,2018-07-24,-0.27001934194444455,0.5599806580555554
BB Upland Well 1,2018-07-25,-0.10795786245833366,0.7220421375416664
BB Upland Well 1,2018-07-26,-0.08241033576388895,0.7475896642361111
BB Upland Well 1,2018-07-27,-0.15855544827777776,0.6714445517222222
BB Upland Well 1,2018-07-28,-0.21205427912500038,0.6179457208749995
BB Upland Well 1,2018-07-29,-0.2791330894444444,0.5508669105555556
BB Upland Well 1,2018-07-30,-0.31029285287962993,0.51970714712037
BB Upland Well 1,2018-07-31,-0.2971355143009261,0.5328644856990739
BB Upland Well 1,2018-08-01,-0.24606831437499962,0.5839316856250003
BB Upland Well 1,2018-08-02,-0.2744990285555558,0.5555009714444441
BB Upland Well 1,2018-08-03,-0.3299346192638889,0.5000653807361111
BB Upland Well 1,2018-08-04,-0.30959722444444443,0.5204027755555555
BB Upland Well 1,2018-08-05,-0.3688907558194447,0.46110924418055527
BB Upland Well 1,2018-08-06,-0.40475586612500003,0.42524413387499993
BB Upland Well 1,2018-08-07,-0.43282330505555566,0.3971766949444443
BB Upland Well 1,2018-08-08,-0.4648952694027779,0.36510473059722204
BB Upland Well 1,2018-08-09,-0.5098939550972226,0.3201060449027774
BB Upland Well 1,2018-08-10,-0.5521425834166668,0.27785741658333324
BB Upland Well 1,2018-08-11,-0.5844170754861111,0.2455829245138888
BB Upland Well 1,2018-08-12,-0.4428149972488425,0.38718500275115747
BB Upland Well 1,2018-08-13,-0.39539131943518535,0.4346086805648146
BB Upland Well 1,2018-08-14,-0.4363038076944448,0.39369619230555514
BB Upland Well 1,2018-08-15,-0.4962987506388892,0.3337012493611108
BB Upland Well 1,2018-08-16,-0.5508597898194445,0.27914021018055546
BB Upland Well 1,2018-08-17,-0.5720745687222221,0.2579254312777779
BB Upland Well 1,2018-08-18,-0.600919544152778,0.22908045584722198
BB Upland Well 1,2018-08-19,-0.6467977383472221,0.18320226165277792
BB Upland Well 1,2018-08-20,-0.6489858875138886,0.18101411248611132
BB Upland Well 1,2018-08-21,-0.6345055094444443,0.1954944905555557
BB Upland Well 1,2018-08-22,-0.6209988223472221,0.2090011776527778
