date,tmean_c,ppt_mm
2019-06-04,17.788388977161375,0
2019-06-05,23.402214583333333,0
2019-06-06,25.465573137300915,0.1
2019-06-07,23.83254857774059,12
2019-06-08,22.5101875,0
2019-06-09,20.184188565048338,1.5
2019-06-10,23.582529166666667,5.7
2019-06-11,21.74618473789251,5.5
2019-06-12,19.994724178941773,0.4
2019-06-13,20.034694070785218,32.6
2019-06-14,18.54210190785541,0.1
2019-06-15,21.108886841661377,0
2019-06-16,24.93244375,0
2019-06-17,26.96057835963901,4.3
2019-06-18,25.26289166666667,9.6
2019-06-19,26.159963289966104,1.6
2019-06-20,25.919702083333334,17.8
2019-06-21,23.0107549729905,0.7
2019-06-22,22.118843455772463,0
2019-06-23,22.195974777084437,0
2019-06-24,24.87215048874077,0
2019-06-25,26.655270635092386,0
2019-06-26,26.313039192001472,0
2019-06-27,27.82946450650326,0
2019-06-28,27.778687626282867,0
2019-06-29,26.73138189400759,20.7
2019-06-30,26.380079866607385,0.4
2019-07-01,23.208332277333245,0
2019-07-02,25.887711823598845,0.6
2019-07-03,28.023714583333334,0.1
2019-07-04,26.85073628465495,0
2019-07-05,27.727554166666668,1.2
2019-07-06,28.17974809655039,5.1
2019-07-07,25.380133333333333,8.7
2019-07-08,22.877858304574474,6.5
2019-07-09,24.75086933114526,0
2019-07-10,25.907272543322634,0
2019-07-11,25.903166162218064,48.3
2019-07-12,26.916065054754473,0
2019-07-13,26.175801387199147,0
2019-07-14,28.28590754232386,0
2019-07-15,25.928269832448436,0
2019-07-16,28.096196727747873,0
2019-07-17,29.547711030464225,0.5
2019-07-18,28.786426651239406,0.2
2019-07-19,30.20927321371608,0
2019-07-20,31.342999741068375,0
2019-07-21,31.67118125,0
2019-07-22,28.53514411612657,0
2019-07-23,22.502822916666666,3
2019-07-24,24.1878,0.2
2019-07-25,24.21997930410084,0
2019-07-26,24.97796875,0
2019-07-27,25.86823125,0
2019-07-28,26.989891666666665,0
2019-07-29,28.140894442280487,0
2019-07-30,28.12983125,0
2019-07-31,26.679904166666667,4.7
2019-08-01,24.857495833333335,52.6
2019-08-02,23.868031990806678,0
2019-08-03,26.861014583333333,0
2019-08-04,26.94097079953444,0
2019-08-05,25.443645833333335,0
2019-08-06,26.737207167004414,0
2019-08-07,25.893983333333335,25.6
2019-08-08,25.97424009280366,0.1
2019-08-09,26.563654166666666,0
2019-08-10,23.914641666666668,0
2019-08-11,23.12263125,0
2019-08-12,24.733539583333332,0
2019-08-13,25.240322916666667,0
2019-08-14,26.462320020223263,5.1
2019-08-15,24.366008333333333,0
2019-08-16,25.411257499205774,0
2019-08-17,27.067068321119766,0
2019-08-18,28.637066666666666,0
2019-08-19,28.7970875,0
2019-08-20,27.54735833333333,0
2019-08-21,27.487118285749155,0
2019-08-22,27.832668604455396,16.9
2019-08-23,20.41768632667872,6.6
2019-08-24,20.7164875,0.1
2019-08-25,19.22525545391042,0.5
2019-08-26,19.117689583333334,0
2019-08-27,20.9838125,0
2019-08-28,23.920070655977455,0
2019-08-29,22.707716666666666,0
2019-08-30,22.886555129979772,0
2019-08-31,23.8501875,0
2019-09-01,22.55506980614372,0
2019-09-02,24.366845833333333,38.2
2019-09-03,24.12363125,0.1
2019-09-04,26.726239583333335,9.7
2019-09-05,22.150483333333334,0.1
2019-09-06,19.005751240132582,2.5
2019-09-07,20.052596331295835,0.1
2019-09-08,21.784325,0
2019-09-09,22.87928919292874,0
2019-09-10,22.925689583333334,0
2019-09-11,25.600752083333333,0
2019-09-12,27.237627083333333,2.5
2019-09-13,19.56943125,0.3
2019-09-14,21.633641666666666,0
2019-09-15,24.230247916666666,0
2019-09-16,23.178358333333332,0
2019-09-17,21.245017747456476,0
2019-09-18,17.36269073715499,0
2019-09-19,14.990088125,0
2019-09-20,15.925253958333334,0
2019-09-21,20.187971666666666,0
2019-09-22,23.315398258630985,0
2019-09-23,25.952412412675613,0
2019-09-24,21.17776809144271,0
2019-09-25,18.07251261035688,0
2019-09-26,21.349066666666666,0
2019-09-27,19.564008333333334,0
2019-09-28,22.581183333333332,0
2019-09-29,23.973683333333334,0
2019-09-30,19.775590905596616,0
2019-10-01,23.804316247964294,0
2019-10-02,26.53022070431961,0
2019-10-03,21.321952083333333,0.1
2019-10-04,19.419205,0
2019-10-05,12.458644166666668,0
2019-10-06,18.9020625,0
2019-10-07,22.390020833333335,0
2019-10-08,16.758491666666668,0.2
2019-10-09,14.786764650267697,0.4
2019-10-10,16.434828541666665,0
2019-10-11,13.757666696301802,0
2019-10-12,14.459553635469911,0
2019-10-13,14.447890386000038,5
2019-10-14,16.3746325,0.1
2019-10-15,13.131444166666666,0
2019-10-16,12.809573333333333,41.1
2019-10-17,12.870805465930465,0
2019-10-18,10.597020833333334,0
2019-10-19,9.52694711228583,0
2019-10-20,11.446586974554407,26.6
2019-10-21,16.856997916666668,0
2019-10-22,16.73855500432404,13
2019-10-23,13.554455416666666,0.1
2019-10-24,10.858195645833334,0
2019-10-25,12.517695625,0
2019-10-26,15.213633333333334,0
2019-10-27,18.649206320032622,25.4
2019-10-28,14.787622370424213,0
2019-10-29,14.10348556467467,0.1
2019-10-30,14.977745901037217,0.9
2019-10-31,21.60183125,10
2019-11-01,8.516178363619789,0.7
2019-11-02,5.1255732125,0
2019-11-03,4.653991520833333,0
2019-11-04,6.676273020833333,0
2019-11-05,10.171406996957538,0
2019-11-06,7.2963223125,0
2019-11-07,9.29025387673725,1.3
2019-11-08,3.4363165208333335,0
2019-11-09,-0.33609868750000005,0
2019-11-10,5.389140520833333,0
2019-11-11,11.511232770833333,0
2019-11-12,5.714740354166667,7.5
2019-11-13,-1.7369818333333333,0
2019-11-14,-0.2106854791666667,0
2019-11-15,5.852148325154961,0.7
2019-11-16,4.313506875,0
2019-11-17,4.651481291666666,0
2019-11-18,5.3264646875,0
2019-11-19,8.214544998876523,1
2019-11-20,7.255102065290478,0
2019-11-21,6.65594385,0
2019-11-22,7.814446041666667,3.7
2019-11-23,3.1648647291666667,5.2
2019-11-24,6.440415874318854,9.9
2019-11-25,5.341520445833333,0
2019-11-26,7.545616916666667,0
2019-11-27,10.030451149763408,0
2019-11-28,8.853561041666667,0
2019-11-29,4.355267398240913,0
2019-11-30,4.521201620437392,0
2019-12-01,5.823236822559903,19.2
2019-12-02,3.9517625,0.2
2019-12-03,3.989216260616765,1.7
2019-12-04,3.6678604084652178,0.1
2019-12-05,3.3070502375,0
2019-12-06,5.312143587577833,0
2019-12-07,1.92180454375,0
2019-12-08,1.3500802083333334,0.3
2019-12-09,9.381536324084065,22.1
2019-12-10,13.325890208333334,5.9
2019-12-11,1.9086940842494842,5.9
2019-12-12,-0.5105534347865744,0
2019-12-13,5.672965291666666,10.3
2019-12-14,10.055451458333334,1.7
2019-12-15,7.168147345833333,0
2019-12-16,1.9407921666666665,5
2019-12-17,4.021882916666667,2.4
2019-12-18,2.1314669020833334,0.1
2019-12-19,-3.4660529783333334,0
2019-12-20,-2.691057553001233,0
2019-12-21,-2.3436965863738135,0
2019-12-22,-0.36656895736897144,0
2019-12-23,2.0009672199812987,0
2019-12-24,3.0521863333333332,0
2019-12-25,1.52749155,0
2019-12-26,4.161137664874629,0
2019-12-27,8.702286210318169,0
2019-12-28,8.085763541666667,0
2019-12-29,6.747478229166667,10.2
2019-12-30,13.153065833333333,7.7
2019-12-31,6.447376325605556,0
