dep_id,root_id,root,leaf,site,level,area,depth,merge_elev,perimeter,p_a_ratio,shape_index,a_axis,b_axis,orientation,med_merge_perim_elev,mean_elev,min_elev,mean_depth,max_depth,max_merge_depth,med_merge_perim_depth,volume,mean_diff,mean_dev,mean_slope,med_perim_depth,catch_area,catch_min_elev,catch_max_elev,catch_mean_elev,catch_sd_elev,catch_mean_slope,p
93,698,TRUE,FALSE,BC,0,2878,0.5571193695068359,NA,325,0.11292564280750521,1.7089644719477586,105.77211112370291,58.70058664406145,118.164,NA,18.365735212409554,18.05303192138672,0.2444160784840004,0.5571193695068359,NA,NA,703.4294738769531,-0.8361800909042358,-1.1775751113891602,1.9255058765411377,0.5007476806640625,2.1707,18.05303192138672,20.55817985534668,19.142955609829162,0.5220304272150201,1.7627261877059937,1.48429122387461
94,698,FALSE,TRUE,BC,1,1377,0.3423595428466797,18.554439353942872,190,0.13798111837327523,1.444380773561181,69.68125321198056,33.16034072135452,134.169,18.55377960205078,18.410065751363163,18.2119197845459,0.1442135760294153,0.3423595428466797,0.39823150634765625,0.3418598175048828,198.58209419250488,-0.8477891087532043,-1.178742527961731,1.5096039772033691,0.31943511962890625,1.5988,18.2119197845459,20.55817985534668,19.19225790741028,0.4955550420212496,1.5111140012741089,1.3942154591250473
95,698,FALSE,TRUE,BC,1,1244,0.5008583068847656,18.554439353942872,137,0.11012861736334405,1.095734775072769,51.703317414394164,31.155172867147048,125.538,18.55377960205078,18.273923453794033,18.05303192138672,0.2799667744774527,0.5008583068847656,0.5571193695068359,0.5007476806640625,348.2786674499512,-0.8657121658325195,-1.236255168914795,2.365577220916748,0.46658897399902344,0.5719000000000001,18.05303192138672,20.4036865234375,19.005126420508148,0.5675307843010654,2.4661312103271484,2.8475340083433136
96,701,TRUE,FALSE,BC,0,787,0.2968273162841797,NA,160,0.20330368487928843,1.6088949349745811,46.63706020554238,31.132718382714376,125.03,NA,19.09991416785738,18.90666389465332,0.10357704308011784,0.2968273162841797,NA,NA,81.51513290405273,-0.994920015335083,-1.0392701625823975,1.576138973236084,0.26146507263183594,1.0273,18.90666389465332,22.451919555664062,20.520282470204055,1.0250388043315568,2.5260040760040283,0.8738861209110202
97,701,FALSE,TRUE,BC,1,371,0.23727798461914062,19.144125747680665,94,0.25336927223719674,1.3766893944876823,33.98823325768443,20.12461179749811,57.2416,19.168128967285156,19.07345511649818,18.90666389465332,0.07048676277427982,0.23727798461914062,0.2968273162841797,0.26146507263183594,26.150588989257812,-1.0041083097457886,-1.0459214448928833,1.3770743608474731,0.22327804565429688,0.43310000000000004,18.90666389465332,21.917404174804688,20.031296183291715,0.7627802485052337,2.4250545501708984,1.0091166198844053
98,701,FALSE,TRUE,BC,1,162,0.20651626586914062,19.144125747680665,47,0.29012345679012347,1.0416826210481853,18,12,149.513,19.168128967285156,19.05646762141475,18.936704635620117,0.0867532800745081,0.20651626586914062,0.2667865753173828,0.23142433166503906,14.054031372070312,-1.0753763914108276,-1.128679871559143,2.030644416809082,0.18199825286865234,0.5887,18.936704635620117,22.451919555664062,20.866533333201836,1.0441662030835792,2.6185030937194824,1.5676035769519217
99,708,TRUE,FALSE,JL,0,412,0.2092437744140625,NA,74,0.1796116504854369,1.0284381529441093,27,20,145.033,NA,16.019793218779334,15.907489776611328,0.09694033224605819,0.2092437744140625,NA,NA,39.93941688537598,-0.46053966879844666,-1.1786808967590332,1.3080997467041016,0.1798563003540039,0.9859,15.907489776611328,17.46368980407715,16.382748301922277,0.23285628525547825,1.0981144905090332,1.5584542614593022
100,726,TRUE,FALSE,BC,0,2040,0.5535526275634766,NA,167,0.08186274509803922,1.0430291725905694,52.070966998745234,51.614648884159394,140.563,NA,18.840152228112313,18.67742347717285,0.39082387662401386,0.5535526275634766,NA,NA,797.2807083129883,-1.0618681907653809,-1.0971909761428833,1.7262547016143799,0.390899658203125,0.7041000000000001,18.67742347717285,21.447349548339844,19.57179067514444,0.6613704403899083,2.3560218811035156,3.705348329330719
101,733,TRUE,FALSE,BC,0,390,0.1923065185546875,NA,78,0.2,1.1141851534268368,30.388509973836246,19.34941859577212,129.333,NA,18.43812175163856,18.351228713989258,0.10541348090538612,0.1923065185546875,NA,NA,41.111257553100586,-0.6469377279281616,-0.9522947072982788,1.3734455108642578,0.15043067932128906,0.4052,18.351228713989258,20.403690338134766,19.021516456773462,0.5193356566007881,1.9903658628463745,2.0653432997081462
102,735,TRUE,FALSE,JL,0,94,0.1405506134033203,NA,35,0.3723404255319149,1.0183549659308486,13,9,32.3222,NA,15.618218056699062,15.55204963684082,0.0743821935450777,0.1405506134033203,NA,NA,6.991926193237305,-0.34250426292419434,-0.5615040063858032,1.448486328125,0.09548377990722656,0.21130000000000002,15.55204963684082,16.920848846435547,16.32782797580977,0.3915339000787681,1.4640274047851562,NA
