date,water_depth,water_level,water_level_gf,wetland,year,wateryear,inund,inund_gf,delta_1d,dir_1d,well_dry
2020-10-30,0.6387525283749999,0.6387525283749999,0.6387525283749999,JB,2020,2021,1,1,0.03848699454166671,1,0
2020-10-31,0.6224901187916667,0.6224901187916667,0.6224901187916667,JB,2020,2021,1,1,-0.016262409583333137,-1,0
2020-11-01,0.6209191126666666,0.6209191126666666,0.6209191126666666,JB,2020,2021,1,1,-0.0015710061250001628,-1,0
2020-11-02,0.6293764154166668,0.6293764154166668,0.6293764154166668,JB,2020,2021,1,1,0.008457302750000228,1,0
2020-11-03,0.6225092385416665,0.6225092385416665,0.6225092385416665,JB,2020,2021,1,1,-0.006867176875000269,-1,0
2020-11-04,0.6189242854166666,0.6189242854166666,0.6189242854166666,JB,2020,2021,1,1,-0.0035849531249999567,-1,0
2020-11-05,0.6158449434583332,0.6158449434583332,0.6158449434583332,JB,2020,2021,1,1,-0.0030793419583333703,-1,0
2020-11-06,0.6135877507500003,0.6135877507500003,0.6135877507500003,JB,2020,2021,1,1,-0.0022571927083329113,-1,0
2020-11-07,0.6107983916666665,0.6107983916666665,0.6107983916666665,JB,2020,2021,1,1,-0.0027893590833337756,-1,0
2020-11-08,0.6093251087083331,0.6093251087083331,0.6093251087083331,JB,2020,2021,1,1,-0.0014732829583333773,-1,0
2020-11-09,0.6073833918750001,0.6073833918750001,0.6073833918750001,JB,2020,2021,1,1,-0.001941716833332996,-1,0
2020-11-10,0.6047894791249996,0.6047894791249996,0.6047894791249996,JB,2020,2021,1,1,-0.0025939127500005377,-1,0
2020-11-11,0.6067970528749999,0.6067970528749999,0.6067970528749999,JB,2020,2021,1,1,0.002007573750000269,1,0
2020-11-12,0.6484388061666666,0.6484388061666666,0.6484388061666666,JB,2020,2021,1,1,0.04164175329166675,1,0
2020-11-13,0.6373620976666665,0.6373620976666665,0.6373620976666665,JB,2020,2021,1,1,-0.011076708500000088,-1,0
2020-11-14,0.6283397000833334,0.6283397000833334,0.6283397000833334,JB,2020,2021,1,1,-0.00902239758333312,-1,0
2020-11-15,0.6240260720416665,0.6240260720416665,0.6240260720416665,JB,2020,2021,1,1,-0.004313628041666906,-1,0
2020-11-16,0.6232442867083334,0.6232442867083334,0.6232442867083334,JB,2020,2021,1,1,-7.817853333330627e-4,-1,0
2020-11-17,0.6205144112916663,0.6205144112916663,0.6205144112916663,JB,2020,2021,1,1,-0.002729875416667138,-1,0
2020-11-18,0.618077705375,0.618077705375,0.618077705375,JB,2020,2021,1,1,-0.0024367059166663374,-1,0
2020-11-19,0.6159607241666667,0.6159607241666667,0.6159607241666667,JB,2020,2021,1,1,-0.0021169812083332573,-1,0
2020-11-20,0.614971808208333,0.614971808208333,0.614971808208333,JB,2020,2021,1,1,-9.889159583337248e-4,-1,0
2020-11-21,0.6128006543749995,0.6128006543749995,0.6128006543749995,JB,2020,2021,1,1,-0.002171153833333439,-1,0
2020-11-22,0.6102566654166668,0.6102566654166668,0.6102566654166668,JB,2020,2021,1,1,-0.0025439889583327435,-1,0
2020-11-23,0.6139903277083332,0.6139903277083332,0.6139903277083332,JB,2020,2021,1,1,0.003733662291666384,1,0
2020-11-24,0.6132106667916667,0.6132106667916667,0.6132106667916667,JB,2020,2021,1,1,-7.796609166664803e-4,-1,0
2020-11-25,0.6096182782083331,0.6096182782083331,0.6096182782083331,JB,2020,2021,1,1,-0.00359238858333355,-1,0
2020-11-26,0.612374708833333,0.612374708833333,0.612374708833333,JB,2020,2021,1,1,0.0027564306249998616,1,0
2020-11-27,0.6109046124999998,0.6109046124999998,0.6109046124999998,JB,2020,2021,1,1,-0.0014700963333331707,-1,0
2020-11-28,0.6071571415000003,0.6071571415000003,0.6071571415000003,JB,2020,2021,1,1,-0.0037474709999995026,-1,0
2020-11-29,0.603833491625,0.603833491625,0.603833491625,JB,2020,2021,1,1,-0.003323649875000334,-1,0
2020-11-30,0.6195414284583334,0.6195414284583334,0.6195414284583334,JB,2020,2021,1,1,0.01570793683333338,1,0
2020-12-01,0.6407441690000001,0.6407441690000001,0.6407441690000001,JB,2020,2021,1,1,0.02120274054166671,1,0
2020-12-02,0.6241174219583333,0.6241174219583333,0.6241174219583333,JB,2020,2021,1,1,-0.01662674704166678,-1,0
2020-12-03,0.6201723802083331,0.6201723802083331,0.6201723802083331,JB,2020,2021,1,1,-0.003945041750000211,-1,0
2020-12-04,0.6176411377500002,0.6176411377500002,0.6176411377500002,JB,2020,2021,1,1,-0.0025312424583329163,-1,0
2020-12-05,0.6404509995000001,0.6404509995000001,0.6404509995000001,JB,2020,2021,1,1,0.022809861749999882,1,0
2020-12-06,0.6347267587916667,0.6347267587916667,0.6347267587916667,JB,2020,2021,1,1,-0.005724240708333328,-1,0
2020-12-07,0.6279615539166665,0.6279615539166665,0.6279615539166665,JB,2020,2021,1,1,-0.006765204875000208,-1,0
2020-12-08,0.6240154499583336,0.6240154499583336,0.6240154499583336,JB,2020,2021,1,1,-0.003946103958332947,-1,0
2020-12-09,0.6207704034999996,0.6207704034999996,0.6207704034999996,JB,2020,2021,1,1,-0.003245046458334011,-1,0
2020-12-10,0.6187139681666667,0.6187139681666667,0.6187139681666667,JB,2020,2021,1,1,-0.0020564353333328844,-1,0
2020-12-11,0.6165566230416663,0.6165566230416663,0.6165566230416663,JB,2020,2021,1,1,-0.0021573451250004316,-1,0
2020-12-12,0.6151927475416665,0.6151927475416665,0.6151927475416665,JB,2020,2021,1,1,-0.0013638754999997227,-1,0
2020-12-13,0.6131288767500002,0.6131288767500002,0.6131288767500002,JB,2020,2021,1,1,-0.0020638707916663668,-1,0
2020-12-14,0.6187107815416666,0.6187107815416666,0.6187107815416666,JB,2020,2021,1,1,0.0055819047916664255,1,0
2020-12-15,0.6300764107083334,0.6300764107083334,0.6300764107083334,JB,2020,2021,1,1,0.011365629166666835,1,0
2020-12-16,0.6273730904999997,0.6273730904999997,0.6273730904999997,JB,2020,2021,1,1,-0.002703320208333748,-1,0
2020-12-17,0.6521735306666667,0.6521735306666667,0.6521735306666667,JB,2020,2021,1,1,0.024800440166667048,1,0
